CODIGO,NOMBRE
211002,DESTRUCTOR DE PAPEL SUNWOOD 9520
221001,LAMINADORA ROYAL NR 901 DIGITAL
221002,"LAMINADORA ROYAL RPA 400 - 4"""
221003,LAMINADORA ROYAL IL 926W
221004,LAMINADORA ROYAL RSL 2701
221005,LAMINADORA ROYAL RSL 2702
221006,LAMINADORA ROYAL RSL 38CM
221007,"LAMINADORA ROYAL ES 915 - 9"""
221008,"LAMINADORA ROYAL ES 1315 - 12"""
222001,LAMINADORA TAHSIN 1400 34 CM
222002,LAMINADORA TAHSIN TCC 330
222003,LAMINADORA TAHSIN VERSALAM 1300
222004,LAMINADORA TAHSIN VERSALAM 2700 EP
222005,"LAMINADORA LEDCO D 42"""
222006,LAMINADORA TAHSIN TCC 2700
222008,"PLASTIFICADORA PREMIER 25"""
223001,PLASTIFICADORA PDFM 360
231001,CERRADORA MANUAL PARA ANILLO METALICO WMB5
231002,ANILLADORA ANIBIND 21 PERFORACIONES
231003,ENCUADERNADORA GENERICA W25A (2.1)
231004,ENCUADERNADORA ELECTRICA WIRE MAC (2.1)
231005,ENCUADERNADORA ELECTRICA WIRE MAC (3.1)
231006,ESPIRALADORA COILSTARTER 49 PERFORACIONES
231007,ESPIRALADORA ESPIRAMATIC MANUAL 360
231008,ENCUADERNADORA WIRE MAC DUO (2.1) - (3.1)
231009,ESPIRALADORA COIL MAC ELECTRICA CON INSERTADOR
231010,ESPIRALADORA COIL MAC MANUAL CON INSERTADOR ELECTRICO
231011,MAQUINA PERFORADORA SB - V400M SECUREBIND
231012,MAQUINA PERFORADORA CK-600
231013,MAQUINA PERFORADORA CKD-600
231014,PERFORADOR DOBLE OO MINIMAX (2.1) SEMI-INDUSTRIAL
231015,ENCUADERNADORA DUO GENERICA - WW2500A(2.1) (3.1)
231016,ESPIRALADORA COIL MAC MANUAL
231017,ESPIRALADORA RUBI COIL
231018,ESPIRALADORA ESPIRAPLAST 330
231019,ENCUADERNADORA X6 (2.1 - 3.1)
311001,KIT REPUESTO DESPUNTADORA DIAMOND-1
311002,TROQUEL BORDEADOR 1/4 6MM R-CUT M(R6)
311003,TROQUEL BORDEADOR 13/16  21MM  MEDIA LUNA
311004,TROQUEL BORDEADOR 3/8 10MM RCUTL(R10)
311005,TROQUEL CKD-600 3.1 CUADRADO
311006,TROQUEL CKD-600 3.1 REDONDO
311007,TROQUEL MINIMAX DOBLE OO 2.1 SEMI-INDUSTRIAL
311008,TROQUEL MINIMAX DOBLE OO 3.1 SEMI-INDUSTRIAL
311009,REPUESTO MOTOR CCW ROYAL RPA 5954
311010,REPUESTO MOTOR CW ROYAL RPA 5954
311011,REPUESTOS
311012,RODILLOS PARA BICICLETA
311013,TROQUEL BORDEADOR R3.5
311014,TROQUEL BORDEADOR R6
311015,TROQUEL REDONDO 5MM
321001,PERFORADORA ELECTRICA WB 50
321002,PERFORADORA S450
321003,PERFORADORA 290B
321004,PERFORADORA T30
